Var1,Var2
163.892857142857,435.035714285714
170.331043956044,437.729395604396
176.769230769231,440.423076923077
182.674436674437,437.686091686092
188.579642579643,434.949106449106
194.484848484849,432.212121212121
195.938076416337,430.845191040843
197.391304347826,429.478260869565
198.427536231884,426.833992094862
199.463768115942,424.189723320158
200.5,421.545454545455
209.972222222222,407.050505050505
219.444444444444,392.555555555556
221.58024691358,389.172839506173
223.716049382716,385.79012345679
225.851851851852,382.407407407407
227.175925925926,379.953703703704
228.5,377.5
229.952380952381,375.507936507937
231.404761904762,373.515873015873
232.857142857143,371.52380952381
236.063186813187,365.877289377289
239.269230769231,360.230769230769
240.143772893773,357.570512820513
241.018315018315,354.910256410256
241.892857142857,352.25
244.429187192118,345.297413793103
246.965517241379,338.344827586207
248.777011494253,334.407662835249
250.588505747126,330.470498084291
252.4,326.533333333333
255.088888888889,322.22962962963
257.777777777778,317.925925925926
258.140740740741,316.717283950617
258.503703703704,315.508641975309
258.866666666667,314.3
258.312643678161,309.374137931035
257.758620689655,304.448275862069
259.323928944619,299.329153605016
260.889237199582,294.210031347962
262.454545454545,289.090909090909
260.762987012987,292.956168831169
259.071428571429,296.821428571429
257.94885361552,294.041446208113
256.826278659612,291.261463844797
255.703703703704,288.481481481481
254.101851851852,281.240740740741
252.5,274
252.710144927536,272.753623188406
252.920289855072,271.507246376812
253.130434782609,270.260869565217
253.176328502415,266.852657004831
253.222222222222,263.444444444444
252.417989417989,260.693121693122
251.613756613757,257.941798941799
250.809523809524,255.190476190476
248.854761904762,246.045238095238
246.9,236.9
245.433333333333,238.6
243.966666666667,240.3
242.5,242
239.5,243.194444444444
236.5,244.388888888889
232.144144144144,245.700700700701
227.788288288288,247.012512512513
223.432432432432,248.324324324324
218.29954954955,253.828828828829
213.166666666667,259.333333333333
210.89898989899,262.555555555556
208.631313131313,265.777777777778
206.363636363636,269
202.815151515152,270.466666666667
199.266666666667,271.933333333333
197.037426900585,272.148538011696
194.808187134503,272.363742690058
192.578947368421,272.578947368421
187.129473684211,272.70947368421
181.68,272.84
178.859130434783,273.168695652174
176.038260869565,273.497391304348
173.217391304348,273.826086956522
166.699604743083,272.958498023715
160.181818181818,272.090909090909
158.676767676768,272.489177489178
157.171717171717,272.887445887446
155.666666666667,273.285714285714
148.515151515152,272.642857142857
141.363636363636,272
138.353535353535,273.626262626263
135.343434343434,275.252525252525
132.333333333333,276.878787878788
125.005376344086,278.47165200391
117.677419354839,280.064516129032
114.648194099807,280.231044940722
111.618968844775,280.397573752412
108.589743589744,280.564102564103
104.228205128205,280.315384615385
99.8666666666667,280.066666666667
97.3424836601307,280.024836601307
94.8183006535948,279.983006535948
92.2941176470588,279.941176470588
87.7970588235294,280.353921568627
83.3,280.766666666667
82.240404040404,279.662626262626
81.1808080808081,278.558585858586
80.1212121212121,277.454545454545
78.5606060606061,275.491978609626
77,273.529411764706
76.5416666666667,272.894607843137
76.0833333333333,272.259803921569
75.625,271.625
74.1546052631579,271.917763157895
72.6842105263158,272.210526315789
71.8820662768031,272.473684210526
71.0799220272905,272.736842105263
70.2777777777778,273
70.1388888888889,274.25
70,275.5
69.9803921568627,276.882352941176
69.9607843137255,278.264705882353
69.9411764705882,279.647058823529
70.3039215686275,281.37908496732
70.6666666666667,283.111111111111
70.5396825396826,282.740740740741
70.4126984126984,282.37037037037
70.2857142857143,282
71.1845238095238,284.666666666667
72.0833333333333,287.333333333333
72.1746031746032,287.484126984127
72.265873015873,287.634920634921
72.3571428571429,287.785714285714
72.5535714285714,288.067857142857
72.75,288.35
72.7539682539683,288.646031746032
72.7579365079365,288.942063492063
72.7619047619048,289.238095238095
73.315734989648,289.749482401656
73.8695652173913,290.260869565217
73.9584980237154,290.401185770751
74.0474308300395,290.541501976285
74.1363636363636,290.681818181818
74.1931818181818,290.440909090909
74.25,290.2
74.2826086956522,290.220289855072
74.3152173913043,290.240579710145
74.3478260869565,290.260869565217
74.3239130434783,290.330434782609
